Released,week,individual,treatment,weight,SVL,BCI,SMI,ID
0,0,1,nb,4.4,35.3,0.125,16.2,
0,0,1,b,5.3,35.2,0.151,13.4,
0,0,2,nb,3.2,32.3,0.099,11,
0,0,2,b,4.1,33.9,0.121,12.4,
0,0,3,nb,4.4,35.2,0.125,13.4,
0,0,3,b,6.7,39.8,0.168,11,
0,0,4,nb,5.6,37.5,0.149,14.4,
0,0,4,b,3.4,30,0.113,13.4,
0,0,5,nb,3.6,33.4,0.108,12.3,
0,0,5,b,3.9,32.9,0.119,10.8,
0,0,6,nb,3.8,32.5,0.117,13.1,
0,0,6,b,3.5,32.3,0.108,13.6,
0,0,7,nb,3.4,32.4,0.105,16.6,
0,0,7,b,4.8,36.2,0.133,12.1,
0,0,8,nb,5,36.2,0.138,12.5,
0,0,8,b,4.9,36.2,0.135,11,
0,0,9,nb,3.5,32.5,0.108,12.6,
0,0,9,b,5.3,35.6,0.149,12.6,
0,0,10,nb,2.8,30.6,0.092,14.6,
0,0,10,b,3.6,32,0.113,14.1,
0,0,11,nb,5,36,0.139,14.3,
0,0,11,b,3.9,32.6,0.12,12.6,
0,0,12,nb,3.2,32.1,0.1,13.4,
0,0,12,b,4,34.8,0.115,12.5,
0,0,13,nb,5.1,36,0.142,13.1,
0,0,13,b,3.8,32.9,0.116,10.9,
0,0,14,nb,4.3,34.3,0.125,15.7,
0,0,14,b,4.7,35.3,0.133,14.6,
0,0,15,nb,5.9,38.1,0.155,13.5,
0,0,15,b,2.8,31.4,0.089,13.3,
0,0,16,nb,4.8,35,0.137,14.7,
0,0,16,b,5.2,37.6,0.138,14.6,
0,0,17,nb,3.3,31.7,0.104,13.6,
0,0,17,b,4.3,34.2,0.126,14,
0,0,18,nb,2.6,30.7,0.085,14.4,
0,0,18,b,3.5,34.1,0.103,22.1,
0,0,19,nb,4.6,35.6,0.129,14.2,
0,0,19,b,2.9,30.9,0.094,15,
0,0,20,nb,4.1,34.5,0.119,18.8,
0,0,20,b,4.4,35.5,0.124,10.6,
0,0,21,nb,3.4,33.6,0.101,18.5,
0,0,21,b,4.7,36,0.131,13.1,
0,0,22,nb,4.4,35.4,0.124,18.4,
0,0,22,b,4.2,33.3,0.126,15.2,
0,0,23,nb,5.2,35.7,0.146,17.1,
0,0,23,b,3.2,32.1,0.1,13.5,
0,0,24,nb,5,37.2,0.134,14.9,
0,0,24,b,3.8,31.8,0.119,12.8,
0,0,25,nb,4.7,35.2,0.134,16.5,
0,0,25,b,5.4,36.8,0.147,11.6,
0,0,26,nb,3.6,34.1,0.106,17.1,
0,0,26,b,3.7,33.2,0.111,16.4,
0,0,27,nb,3.6,32.9,0.109,19.5,
0,0,27,b,4.2,33.9,0.124,17,
0,0,28,nb,4.4,35.1,0.125,16.4,
0,0,28,b,3.6,32.3,0.111,15,
0,0,29,nb,2.6,31.4,0.083,21.7,
0,0,29,b,4.7,35,0.134,13.2,
0,0,30,nb,4.2,35.8,0.117,19.3,
0,0,30,b,3.3,31.6,0.104,11.2,
0,0,31,nb,3,32.3,0.093,14.8,
0,0,31,b,4.5,35.7,0.126,11.3,
0,0,32,nb,4.9,35.1,0.14,17.2,
0,0,32,b,2.7,30.2,0.089,11.3,
0,0,33,nb,3.8,32,0.119,16.5,
0,0,33,b,5.5,37.8,0.146,11.5,
0,0,34,nb,2.8,30.3,0.092,13.5,
0,0,34,b,3.8,34.3,0.111,14.2,
0,0,35,nb,2.7,29.3,0.092,17.1,
0,0,35,b,3.2,31.8,0.101,13.8,
0,0,36,nb,5.2,36.1,0.144,15,
0,0,36,b,4.2,34.4,0.122,11.4,
0,0,37,nb,6.1,37.4,0.163,15.4,
0,0,37,b,4.6,35.2,0.131,12.9,
0,0,38,nb,5.7,37.8,0.151,16.5,
0,0,38,b,5.3,36.4,0.146,15.1,
0,0,39,nb,7.8,40.9,0.191,14.4,
0,0,39,b,4.1,32.6,0.126,12,
0,0,40,nb,5.1,36,0.142,16.9,
0,0,40,b,3.9,34.8,0.112,11,
0,0,41,nb,5.7,37.2,0.153,17.2,
0,0,41,b,4.3,34.4,0.125,12.2,
0,0,42,nb,6.1,38.3,0.159,19.4,
0,0,42,b,4.5,35.4,0.127,10.9,
0,0,43,nb,5.6,37.2,0.151,16.7,
0,0,43,b,5,35.6,0.14,10.2,
0,0,44,nb,3.8,34.2,0.111,15.5,
0,0,44,b,4.7,36.4,0.129,12.2,
0,0,45,nb,6.6,40,0.165,14.2,
0,0,45,b,3.8,34.6,0.11,10.9,
0,0,46,nb,5.3,36.2,0.146,16.4,
0,0,46,b,5.3,36.7,0.144,14,
0,0,47,nb,6.9,40.1,0.172,13.9,
0,0,47,b,3.9,33.8,0.115,14,
0,0,48,nb,5.1,37.3,0.137,15.9,
0,0,48,b,4.5,36.5,0.123,10.2,
0,0,49,nb,4.5,34.4,0.131,17.5,
0,0,49,b,5,36.3,0.138,12.9,
0,0,50,nb,6.6,40.5,0.163,17.1,
0,0,50,b,5.4,37.7,0.143,12.4,
0,0,51,nb,4.7,35.9,0.131,13.7,
0,0,51,b,4.9,35.6,0.138,11.6,
0,0,52,nb,5.4,36.4,0.148,15.1,
0,0,52,b,4.5,36.5,0.123,13.3,
0,0,53,nb,4.8,36,0.133,15.2,
0,0,53,b,4.6,34.8,0.132,12.3,
0,0,54,nb,4.2,35.3,0.119,14.9,
0,0,54,b,4.3,35,0.123,13.7,
0,0,55,nb,6.3,38,0.166,18.4,
0,0,55,b,3.8,33.6,0.113,14,
0,0,56,nb,5.7,37.9,0.15,14.3,
0,0,56,b,3.1,31.6,0.098,14.7,
0,0,57,nb,6,38.6,0.155,15.6,
0,0,57,b,4.5,34.9,0.129,21.3,
0,0,58,nb,3.5,33.2,0.105,19,
0,0,58,b,4.1,34.3,0.12,12.7,
0,0,59,nb,4.6,35.7,0.129,14.9,
0,0,59,b,3.5,33.2,0.105,12.6,
0,0,60,nb,5.2,37.5,0.139,15.1,
0,0,60,b,4.6,35.7,0.129,12.3,
0,0,61,nb,4.2,35.6,0.118,15.3,
0,0,61,b,3.4,32.6,0.104,11.4,
0,0,62,nb,4.4,35,0.126,13.9,
0,0,62,b,4.4,33.7,0.131,12.6,
0,0,63,nb,6,37.6,0.16,14,
0,0,63,b,3.8,32.7,0.116,12.4,
0,0,64,nb,4.3,35.7,0.12,11.3,
0,0,64,b,3.3,31.1,0.106,9.5,
0,0,65,nb,4.2,34.6,0.121,19.9,
0,0,65,b,4.1,33.8,0.121,14.6,
0,0,66,nb,5.1,36.3,0.14,15.3,
0,0,66,b,4.8,35.5,0.135,14,
0,0,67,nb,5,36.3,0.138,17.8,
0,0,67,b,4,33,0.121,12.2,
0,0,68,nb,4.4,34.2,0.129,9.8,
0,0,68,b,4.1,34.1,0.12,10.9,
0,0,69,nb,4.5,35.7,0.126,15.7,
0,0,69,b,3.5,33.4,0.105,16,
0,0,70,nb,5.5,36.5,0.151,15.1,
0,0,70,b,5,35.6,0.14,13.6,
0,0,71,nb,4.7,36.3,0.129,12.1,
0,0,71,b,4.3,33.7,0.128,12.3,
0,0,72,nb,5.3,37.5,0.141,16.7,
0,0,72,b,5.2,37,0.141,13.1,
0,0,73,nb,4.7,35.9,0.131,14.1,
0,0,73,b,4.6,34.2,0.135,11.3,
0,0,74,nb,5,36,0.139,16.9,
0,0,74,b,8.8,41.4,0.213,12.7,
0,4,1,nb,5.2,38.2,0.136,12.2,
0,4,1,b,5.17,35.9,0.144,12.7,
0,4,2,nb,7.14,39.4,0.181,15.4,
0,4,2,b,3.1,30.4,0.102,12,
0,4,3,nb,7.02,39.5,0.178,13.3,
0,4,3,b,4.47,35.6,0.126,13.5,
0,4,4,nb,7.08,40,0.177,16.1,
0,4,4,b,5.34,36.5,0.146,12,
0,4,5,nb,6.31,38.3,0.165,10.8,
0,4,5,b,4.33,33.4,0.13,11.7,
0,4,6,nb,4.97,34.7,0.143,19.7,
0,4,6,b,4.36,35.3,0.124,14.2,
0,4,7,nb,5.92,37.3,0.159,12.3,
0,4,7,b,3.83,34.4,0.111,11.9,
0,4,8,nb,6.38,38.8,0.164,13.6,
0,4,8,b,6,38.1,0.157,13.2,
0,4,9,nb,7.76,41.3,0.188,15.9,
0,4,9,b,6.59,40.3,0.164,11.8,
0,4,10,nb,6.09,38.7,0.157,13.2,
0,4,10,b,5.08,35.3,0.144,11.7,
0,4,11,nb,9.26,44.3,0.209,14.6,
0,4,11,b,4.2,33,0.127,13,
0,4,12,nb,8.1,43.7,0.185,12.5,
0,4,12,b,3.55,32.9,0.108,10.4,
0,4,13,nb,5.1,35.8,0.142,16.1,
0,4,13,b,3.48,32,0.109,13,
0,4,14,nb,6.46,39,0.166,11.4,
0,4,14,b,3.73,34.3,0.109,12.7,
0,4,15,nb,5.92,37.3,0.159,9.6,
0,4,15,b,3.61,32.6,0.111,12.1,
0,4,16,nb,4.77,36.8,0.13,12.4,
0,4,16,b,4.85,35.5,0.137,13.4,
0,4,17,nb,6.04,36.7,0.165,11.5,
0,4,17,b,4.72,35.7,0.132,13.5,
0,4,18,nb,4.91,34.1,0.144,15.2,
0,4,18,b,3.58,32.8,0.109,11.1,
0,4,19,nb,5.22,35.2,0.148,14.5,
0,4,19,b,4.28,34.6,0.124,13.2,
0,4,20,nb,5.87,36.9,0.159,18,
0,4,20,b,5.31,36.5,0.145,10.1,
0,4,21,nb,5.12,37,0.138,17.4,
0,4,21,b,3.62,31.4,0.115,13.3,
0,4,22,nb,6.31,38.8,0.163,14.1,
0,4,22,b,3.4,32.2,0.106,11.8,
0,4,23,nb,6.16,37.3,0.165,20,
0,4,23,b,3.85,32.9,0.117,12.7,
0,4,24,nb,7.38,39.6,0.186,16.1,
0,4,24,b,3.36,32,0.105,13.8,
0,4,25,nb,6.33,39.4,0.161,12.8,
0,4,25,b,3.01,30.8,0.098,11.6,
0,4,26,nb,5.83,39,0.149,22.1,
0,4,26,b,4.12,35,0.118,12.3,
0,4,27,nb,5.08,37.2,0.137,15.8,
0,4,27,b,3.38,32.3,0.105,14.3,
0,4,28,nb,5.85,37.1,0.158,19.4,
0,4,28,b,4.43,33,0.134,11.9,
0,4,29,nb,4.67,34.9,0.134,15.8,
0,4,29,b,4.81,35.8,0.134,11.4,
0,4,30,nb,5.88,38.5,0.153,18.1,
0,4,30,b,3.01,30.7,0.098,12,
0,4,31,nb,6.37,37.8,0.169,18.9,
0,4,31,b,4.44,35.8,0.124,13.6,
0,4,32,nb,6.25,38.1,0.164,14.2,
0,4,32,b,4,33.5,0.119,12.3,
0,4,33,nb,4.53,34.5,0.131,13.8,
0,4,33,b,3.83,34.4,0.111,13.3,
0,4,34,nb,5.49,37.9,0.145,17.8,
0,4,34,b,4.34,34,0.128,13,
0,4,35,nb,5.2,35.6,0.146,17.6,
0,4,35,b,3.93,33.1,0.119,14.1,
0,4,36,nb,5.36,37.4,0.143,21,
0,4,36,b,4.6,34.9,0.132,14.8,
0,4,37,nb,7.1,40.2,0.177,14.6,
0,4,37,b,4.95,36.8,0.135,12.3,
0,4,38,nb,5.03,36.6,0.137,15.5,
0,4,38,b,5.1,36.2,0.141,12.9,
0,4,39,nb,5.73,38.3,0.15,14.1,
0,4,39,b,8.53,41.7,0.205,10.9,
0,4,40,nb,7.33,40.2,0.182,15.5,
0,4,40,b,4.22,34.5,0.122,14.3,
0,4,41,nb,5.21,36.4,0.143,17.3,
0,4,41,b,4.01,33.2,0.121,13.5,
0,4,42,nb,5.27,36.3,0.145,21.7,
0,4,42,b,3.81,32.2,0.118,9.5,
0,4,43,nb,5.43,36.8,0.148,13.1,
0,4,43,b,3.49,31.9,0.109,12.9,
0,4,44,nb,4.43,33.1,0.134,15.3,
0,4,44,b,4.13,34.2,0.121,12.2,
0,4,45,nb,4.79,35.5,0.135,16.7,
0,4,45,b,4.18,35.1,0.119,12.6,
0,4,46,nb,3.63,33.4,0.109,17.9,
0,4,46,b,2.82,31,0.091,12.8,
0,4,47,nb,7.24,37.9,0.191,14.4,
0,4,47,b,5.35,38.2,0.14,12.1,
0,4,48,nb,5.38,36.6,0.147,14.4,
0,4,48,b,4.78,35.4,0.135,12.4,
0,4,49,nb,6.33,37,0.171,15.8,
0,4,49,b,4.03,34.4,0.117,16.2,
0,4,50,nb,2.82,29.9,0.094,13.4,
0,4,50,b,3.48,33.1,0.105,13.5,
0,4,51,nb,5.53,36.7,0.151,19.4,
0,4,51,b,5.44,35.4,0.154,20.7,
0,4,52,nb,5.49,37.8,0.145,17.7,
0,4,52,b,4.71,36.1,0.13,12.8,
0,4,53,nb,3.76,32.4,0.116,16.3,
0,4,53,b,4.08,34.5,0.118,12.2,
0,4,54,nb,6.09,37.9,0.161,20,
0,4,54,b,4.33,34.3,0.126,13.3,
0,4,55,nb,4.76,35,0.136,13.5,
0,4,55,b,3.68,34,0.108,13.9,
0,4,56,nb,6,36.9,0.163,16.7,
0,4,56,b,4.29,35,0.123,13,
0,4,57,nb,3.9,33.2,0.117,13.9,
0,4,57,b,4.18,34.3,0.122,11.2,
0,4,58,nb,5.24,35.5,0.148,16.2,
0,4,58,b,3.96,34.3,0.115,12.5,
0,4,59,nb,4.41,34.6,0.127,21.7,
0,4,59,b,4.61,35.4,0.13,11.6,
0,4,60,nb,5.89,38,0.155,16.1,
0,4,60,b,4.13,35.8,0.115,14,
0,4,61,nb,3.21,31,0.104,8.5,
0,4,61,b,3.95,35,0.113,17.6,
0,4,62,nb,7.63,40.2,0.19,14.6,
0,4,62,b,5,36.6,0.137,12.7,
0,4,63,nb,3.93,33.3,0.118,17.9,
0,4,63,b,3.86,33.6,0.115,15.2,
0,4,64,nb,4.52,34.5,0.131,15.9,
0,4,64,b,4.39,34.5,0.127,13.3,
0,4,65,nb,5.5,35.9,0.153,10.7,
0,4,65,b,3.78,33.3,0.114,10.8,
0,4,66,nb,4.11,32.5,0.126,11.7,
0,4,66,b,3.67,32.6,0.113,12.9,
0,4,67,nb,5.01,35.8,0.14,15.1,
0,4,67,b,4.35,34.8,0.125,11.2,
0,4,68,nb,4.03,33.5,0.12,17.5,
0,4,68,b,3.32,33.2,0.1,12,
0,4,69,nb,5.82,37.6,0.155,14.7,
0,4,69,b,4.59,36.6,0.125,14.4,
0,4,70,nb,3.55,32.4,0.11,10.9,
0,4,70,b,4.3,35.3,0.122,16.5,
0,4,71,nb,2.8,30.4,0.092,19,
0,4,71,b,4,34.4,0.116,12.4,
0,4,72,nb,3.89,32.7,0.119,9.1,
0,4,72,b,4.54,35.2,0.129,14.2,
0,4,73,nb,3.38,30.5,0.111,12.8,
0,4,73,b,4.63,35.7,0.13,9.6,
0,4,74,nb,5.55,38,0.146,12.2,
0,4,74,b,3.48,32.6,0.107,12.4,
0,8,1,nb,5.06,36.3,0.139,15,
0,8,1,b,4.54,35.7,0.127,10.4,
0,8,2,nb,6.51,37.6,0.173,12.4,
0,8,2,b,3.27,33.8,0.097,15,
0,8,3,nb,6.44,38.6,0.167,14.7,
0,8,3,b,4.44,34.6,0.128,13.5,
0,8,4,nb,4.76,35.1,0.136,14.8,
0,8,4,b,4.01,35.3,0.114,10.3,
0,8,5,nb,7.94,41.2,0.193,16.2,
0,8,5,b,4.26,35,0.122,12.1,
0,8,6,nb,5.97,38.5,0.155,13.8,
0,8,6,b,4.77,35.9,0.133,11.4,
0,8,7,nb,4.47,36.4,0.123,13.7,
0,8,7,b,3.83,34.2,0.112,11.3,
0,8,8,nb,9.09,42.7,0.213,10.5,
0,8,8,b,3.92,33.1,0.118,13.3,
0,8,9,nb,5.8,38.1,0.152,16.1,
0,8,9,b,4.8,35,0.137,12.4,
0,8,10,nb,7.56,40.5,0.187,14.6,
0,8,10,b,3.77,32.9,0.115,15.2,
0,8,11,nb,6.02,39.7,0.152,13.6,
0,8,11,b,3.75,34.1,0.11,10.4,
0,8,12,nb,6.96,40.1,0.174,13.6,
0,8,12,b,3.88,33.7,0.115,14.4,
0,8,13,nb,7.68,42.2,0.182,10.1,
0,8,13,b,4.49,34.3,0.131,12.3,
0,8,14,nb,5.15,37.7,0.137,15.3,
0,8,14,b,4,33.8,0.118,11.7,
0,8,15,nb,4.74,35.8,0.132,10.9,
0,8,15,b,4.81,37.7,0.128,12.1,
0,8,16,nb,6.85,40,0.171,10.9,
0,8,16,b,4.56,36.5,0.125,11.2,
0,8,17,nb,6.55,38.6,0.17,11.1,
0,8,17,b,4.7,34.6,0.136,11,
0,8,18,nb,8.18,40.6,0.201,9.5,
0,8,18,b,5.13,36,0.143,12.4,
0,8,19,nb,5.39,38.5,0.14,18.4,
0,8,19,b,3.96,33.5,0.118,12.5,
0,8,20,nb,5.48,36.8,0.149,15.1,
0,8,20,b,4.46,35.9,0.124,12.3,
0,8,21,nb,4.89,36,0.136,16.2,
0,8,21,b,3.42,32.5,0.105,16.5,
0,8,22,nb,5.49,36.9,0.149,8.5,
0,8,22,b,5.2,37.7,0.138,12.1,
0,8,23,nb,6.36,38.3,0.166,11.6,
0,8,23,b,4.77,36.8,0.13,14.3,
0,8,24,nb,9.39,45.1,0.208,13,
0,8,24,b,2.95,32.2,0.092,12.2,
0,8,25,nb,4.55,36.2,0.126,23.7,
0,8,25,b,4.33,34.9,0.124,11.8,
0,8,26,nb,5.7,38.8,0.147,11.4,
0,8,26,b,4.04,34.5,0.117,12.6,
0,8,27,nb,6.34,39.4,0.161,16.4,
0,8,27,b,4.06,33.6,0.121,14.5,
0,8,28,nb,6.83,39.6,0.172,17.3,
0,8,28,b,4.2,34,0.124,11.4,
0,8,29,nb,5.19,37.6,0.138,17.2,
0,8,29,b,4.05,34.8,0.116,12.9,
0,8,30,nb,5.07,36.7,0.138,18.6,
0,8,30,b,4.27,35.7,0.12,9.7,
0,8,31,nb,6.06,40,0.152,12.6,
0,8,31,b,5.67,36.4,0.156,10.5,
0,8,32,nb,4.39,34.1,0.129,11.6,
0,8,32,b,4.44,34.3,0.129,11.8,
0,8,33,nb,7.28,39,0.187,12.3,
0,8,33,b,8.56,43,0.199,14.4,
0,8,34,nb,6.86,40.2,0.171,18.2,
0,8,34,b,4.38,35.7,0.123,14.4,
0,8,35,nb,6.16,39.4,0.156,18,
0,8,35,b,4.13,35.2,0.117,11.1,
0,8,36,nb,8.06,42,0.192,17.7,
0,8,36,b,4.61,36,0.128,11.3,
0,8,37,nb,4.56,35.2,0.13,15.2,
0,8,37,b,4.8,35.9,0.134,10.7,
0,8,38,nb,6.18,38.6,0.16,17.9,
0,8,38,b,4.43,35.5,0.125,10.6,
0,8,39,nb,5.14,38.5,0.134,22.1,
0,8,39,b,3.57,33.1,0.108,11.6,
0,8,40,nb,5.87,37.8,0.155,12.3,
0,8,40,b,4.15,34.5,0.12,8.8,
0,8,41,nb,8.82,42.3,0.209,14.4,
0,8,41,b,3.51,31.6,0.111,12.2,
0,8,42,nb,5.87,38,0.154,15,
0,8,42,b,4.71,34.9,0.135,11.6,
0,8,43,nb,2.52,30.9,0.082,16.1,
0,8,43,b,6.78,40.1,0.169,12.6,
0,8,44,nb,5.17,36.8,0.14,12.9,
0,8,44,b,4.45,36.5,0.122,15.4,
0,8,45,nb,7.18,41.7,0.172,21.1,
0,8,45,b,5.33,36.4,0.146,16.6,
0,8,46,nb,5.93,38.8,0.153,24.2,
0,8,46,b,4.38,34.2,0.128,11,
0,8,47,nb,3.42,33.3,0.103,17.4,
0,8,47,b,3.31,31.8,0.104,13.7,
0,8,48,nb,3.82,33.9,0.113,14,
0,8,48,b,4.36,35.1,0.124,10.8,
0,8,49,nb,5.4,37.1,0.146,16.4,
0,8,49,b,3.62,33.5,0.108,12.6,
0,8,50,nb,6.7,39.8,0.168,13.8,
0,8,50,b,3.83,33.2,0.115,9.5,
0,8,51,nb,5.02,35.4,0.142,10.5,
0,8,51,b,5.07,36.5,0.139,11,
0,8,52,nb,3.13,29.9,0.105,10.9,
0,8,52,b,5.92,37.4,0.158,13.7,
0,8,53,nb,7.23,39.6,0.183,16.8,
0,8,53,b,4.32,36.1,0.12,10.4,
0,8,54,nb,2.7,30.8,0.088,19.4,
0,8,54,b,5.07,37.2,0.136,13.2,
0,8,55,nb,4.31,35.1,0.123,21,
0,8,55,b,2.83,30.5,0.093,13.3,
0,8,56,nb,4.16,35.4,0.118,18.1,
0,8,56,b,4.08,34.1,0.12,10.5,
0,8,57,nb,5.4,37.5,0.144,16.6,
0,8,57,b,3.06,30.6,0.1,8.9,
0,8,58,nb,3.91,32.8,0.119,23.1,
0,8,58,b,5.33,37,0.144,13.6,
0,8,59,nb,5.05,35.8,0.141,27.4,
0,8,59,b,4.59,35.3,0.13,14.7,
0,8,60,nb,5.15,36.3,0.142,22.9,
0,8,60,b,3.17,32,0.099,10.7,
0,8,61,nb,5.7,36.7,0.155,22.4,
0,8,61,b,4.04,34.6,0.117,12.3,
0,8,62,nb,4.78,36,0.133,17.8,
0,8,62,b,3.75,34.3,0.109,12.2,
0,8,63,nb,5.09,38.5,0.132,18.3,
0,8,63,b,3.44,31.8,0.108,12.2,
0,8,64,nb,3.05,30.3,0.101,18.8,
0,8,64,b,4.44,34.7,0.128,12.2,
0,8,65,nb,5.57,36,0.155,17,
0,8,65,b,4.12,34.5,0.119,11.8,
0,8,66,nb,5.01,35.7,0.14,19.3,
0,8,66,b,5.3,36.2,0.146,13,
0,8,67,nb,4.6,35.2,0.131,16.1,
0,8,67,b,3.16,31.7,0.1,12,
0,8,68,nb,4.37,33.4,0.131,19,
0,8,68,b,4.89,35.2,0.139,11.6,
0,8,69,nb,3.14,32.4,0.097,18.5,
0,8,69,b,4.07,34.4,0.118,13.2,
0,8,70,nb,5.78,39.3,0.147,21.4,
0,8,70,b,3.72,33.2,0.112,15,
0,8,71,nb,3.65,34.7,0.105,18.1,
0,8,71,b,3.74,32.2,0.116,12.1,
0,8,72,nb,3.57,34.2,0.104,14.3,
0,8,72,b,3.57,33.1,0.108,13.2,
0,8,73,nb,3.47,32.5,0.107,23.1,
0,8,73,b,3.48,32.8,0.106,9.5,
0,8,74,nb,2.79,30.5,0.091,21.7,
0,8,74,b,4.25,35.7,0.119,11.1,
0,12,1,nb,6.84,38.6,0.177,17.6,
0,12,1,b,4.33,35.9,0.121,13,
0,12,2,nb,5.17,35.7,0.145,14.9,
0,12,2,b,3.85,32.5,0.118,12.6,
0,12,3,nb,5.92,38.1,0.155,19.6,
0,12,3,b,5.82,36.7,0.159,12.9,
0,12,4,nb,2.47,30.2,0.082,15.5,
0,12,4,b,3.82,32.9,0.116,11.1,
0,12,5,nb,3.57,31.9,0.112,16.5,
0,12,5,b,5.13,37.2,0.138,11.2,
0,12,6,nb,4.5,35.9,0.125,15.9,
0,12,6,b,3.92,33.3,0.118,13.2,
0,12,7,nb,9.47,41.6,0.228,20.1,
0,12,7,b,3.83,33.8,0.113,12.3,
0,12,8,nb,3.79,34.6,0.11,16.3,
0,12,8,b,4.35,35.8,0.122,19.2,
0,12,9,nb,6.08,38.6,0.158,15.4,
0,12,9,b,5.19,37.2,0.14,11.9,
0,12,10,nb,6.2,37.3,0.166,16,
0,12,10,b,3.75,34.3,0.109,11.9,
0,12,11,nb,6.44,38.9,0.166,19.8,
0,12,11,b,4.3,34.8,0.124,13.9,
0,12,12,nb,6.83,38.2,0.179,18,
0,12,12,b,2.96,31.6,0.094,12.1,
0,12,13,nb,4.12,34,0.121,15.4,
0,12,13,b,3.23,31.9,0.101,12.3,
0,12,14,nb,3.48,31.3,0.111,18.2,
0,12,14,b,3.88,34.2,0.113,13.4,
0,12,15,nb,4.19,35.4,0.118,19.1,
0,12,15,b,5.07,36.5,0.139,12.3,
0,12,16,nb,6.95,39.7,0.175,17.4,
0,12,16,b,4.97,35.9,0.138,12.8,
0,12,17,nb,6.88,39.8,0.173,15.8,
0,12,17,b,3.51,33,0.106,10.7,
0,12,18,nb,6.4,37.6,0.17,15.2,
0,12,18,b,3.64,33.6,0.108,12,
0,12,19,nb,5.6,38.4,0.146,23,
0,12,19,b,3.4,33.1,0.103,23.3,
0,12,20,nb,6.92,40.1,0.173,17.3,
0,12,20,b,3.29,32.2,0.102,15.6,
0,12,21,nb,8.91,42,0.212,21.4,
0,12,21,b,4.1,36.8,0.111,16.3,
0,12,22,nb,3.99,33.8,0.118,21,
0,12,22,b,2.72,32,0.085,13.4,
0,12,23,nb,5.13,37,0.139,20.3,
0,12,23,b,4.23,36.2,0.117,14.3,
0,12,24,nb,5.57,38.5,0.145,16,
0,12,24,b,3.8,34,0.112,13.7,
0,12,25,nb,5.95,38.4,0.155,19.3,
0,12,25,b,4.16,34.3,0.121,11.9,
0,12,26,nb,4.2,33.8,0.124,23.2,
0,12,26,b,5.5,37.1,0.148,14,
0,12,27,nb,8.64,42.6,0.203,18.7,
0,12,27,b,6.65,41.6,0.16,11.1,
0,12,28,nb,10.47,45,0.233,24.9,
0,12,28,b,3.51,33.3,0.105,16,
0,12,29,nb,6.44,38.4,0.168,21.7,
0,12,29,b,4.45,33.7,0.132,12.3,
0,12,30,nb,4.87,36.1,0.135,18.2,
0,12,30,b,3.67,35.5,0.103,13.1,
0,12,31,nb,6.28,39.8,0.158,23.5,
0,12,31,b,4.43,36.7,0.121,12.4,
0,12,32,nb,4.76,36,0.132,18.6,
0,12,32,b,2.81,30.8,0.091,10.9,
0,12,33,nb,3.37,33.4,0.101,21.7,
0,12,33,b,3.53,33.3,0.106,11.8,
0,12,34,nb,3.33,31.7,0.105,20.7,
0,12,34,b,4.75,36.1,0.132,13.4,
0,12,35,nb,6.38,39.6,0.161,23.7,
0,12,35,b,3.31,33.2,0.1,12.7,
0,12,36,nb,7.35,39.5,0.186,19.7,
0,12,36,b,4.56,35.8,0.127,12.9,
